test_id,q1_skills,q3_answer,q4_worklife,q5_neg,rec1,match1%,rec2,match2%,rec3,match3%,rec4,match4%,rec5,match5%
"001 — Software (Apps+Logic)","ლოგ.+პროგ.+მათ.","IT-პროგ./აპლ.","მ.ხ.+დ.მ.","ად.კ.","პროგრამული ინჟინ. / IT",82,"მონაცემები / სტატ. / AI",45,"კიბერუსაფრთხოება",42,"მექატრონიკა / რობოტიკა",23,"ფინანსები / ეკონ.",23
"002 — Software (Web+Creative)","შემ.+პროგ.+ხ.ხ.","IT-ვებ/UI","კრეატ.+დ.მ.","-","დიზაინი / სახ. ხელ.",58,"პროგრამული ინჟინ. / IT",50,"მუსიკა / თეატ. / კინო",24,"არქიტექტურა",23,"მონაცემები / სტატ. / AI",17
"003 — Software (Web Design)","შემ.+პროგ.+ხ.ხ.","კრ-ვებ.","კრეატ.+მ.ხ.","რუტ.","დიზაინი / სახ. ხელ.",57,"პროგრამული ინჟინ. / IT",38,"მუსიკა / თეატ. / კინო",24,"არქიტექტურა",23,"კიბერუსაფრთხოება",17
"004 — Software (Mobile)","პროგ.+შემ.+ხ.ხ.","კრ-მობ.","მ.ხ.+დ.მ.","-","პროგრამული ინჟინ. / IT",61,"დიზაინი / სახ. ხელ.",42,"კიბერუსაფრთხოება",26,"მონაცემები / სტატ. / AI",17,"მექატრონიკა / რობოტიკა",15
"005 — Software (Algorithms)","მათ.+ლოგ.+პროგ.","DATA-ალგ.","დ.მ.+მ.ხ.","ად.კ.","პროგრამული ინჟინ. / IT",78,"მონაცემები / სტატ. / AI",54,"კიბერუსაფრთხოება",32,"მექატრონიკა / რობოტიკა",32,"ფინანსები / ეკონ.",23
"006 — Software (Automation)","პროგ.+ხ.+ტ.+ლოგ.","ქარ-ავტ.","მ.ხ.+სტაბ.","-","მექატრონიკა / რობოტიკა",71,"მექ. ინჟინერია",41,"ელ. ინჟინ. / ენერგეტ.",37,"პროგრამული ინჟინ. / IT",25,"სამოქალაქო ინჟინერია",23
"007 — Software (Creative Cod)","შემ.+პროგ.+ხ.ხ.","კრ-კრ.კოდ.","კრეატ.+დ.მ.","რუტ.","დიზაინი / სახ. ხელ.",70,"პროგრამული ინჟინ. / IT",34,"მუსიკა / თეატ. / კინო",24,"არქიტექტურა",23,"მონაცემები / სტატ. / AI",17
"008 — Software (Game Dev)","შემ.+პროგ.+ხ.ხ.","კრ-თამ.","კრეატ.+დ.მ.","რუტ.","დიზაინი / სახ. ხელ.",54,"პროგრამული ინჟინ. / IT",51,"მუსიკა / თეატ. / კინო",24,"არქიტექტურა",23,"მონაცემები / სტატ. / AI",17
"009 — Software (Prod Design)","შემ.+ხ.ხ.+პროგ.","კრ-პ.დ.","კრეატ.+მ.ხ.","-","დიზაინი / სახ. ხელ.",65,"პროგრამული ინჟინ. / IT",32,"მუსიკა / თეატ. / კინო",24,"არქიტექტურა",23,"კიბერუსაფრთხოება",17
"010 — Software (+Org)","ორგ.+პროგ.+ლოგ.","IT-პროგ./აპლ.","სტაბ.+მ.ხ.","-","პროგრამული ინჟინ. / IT",64,"კიბერუსაფრთხოება",32,"ბიზნეს-ინფ. სისტემები",27,"მონაცემები / სტატ. / AI",26,"მექატრონიკა / რობოტიკა",26
