test_id,q1_skills,q3_answer,q4_worklife,q5_negfilter,rec1,match1%,rec2,match2%,rec3,match3%,rec4,match4%,rec5,match5%,rec6,match6%,rec7,match7%,rec8,match8%
"01 — Software Dev","ლოგიკური აზრ. + პროგ. + მათემ.","IT — პროგ./აპლ. შექმნა","მ.ხელფ. + დამ.სამ.","ადამ.კ.არა","პროგრამული ინჟინ. / IT",82,"მონაცემები / სტატ. / AI",45,"კიბერუსაფრთხოება",42,"მექატრონიკა / რობოტიკა",23,"ფინანსები / ეკონ.",23,"საბუნ. მეცნ.",19,"სტომატოლოგია",15,"ბიზნეს-ინფ. სისტემები",15
"02 — Cybersecurity","ლოგიკური აზრ. + პროგ. + სწრ.სწავლ.","IT — კიბერუსაფ.","მ.ხელფ. + დამ.სამ.","ადამ.კ.არა","კიბერუსაფრთხოება",75,"პროგრამული ინჟინ. / IT",56,"მონაცემები / სტატ. / AI",29,"ბიზნეს-ინფ. სისტემები",18,"მექატრონიკა / რობოტიკა",18,"ფინანსები / ეკონ.",17,"სტომატოლოგია",15,"საბუნ. მეცნ.",15
"03 — Data / AI","მათემ. + ლოგიკური აზრ. + პროგ.","DATA — AI","დამ.სამ. + მ.ხელფ.","-","მონაცემები / სტატ. / AI",70,"პროგრამული ინჟინ. / IT",58,"კიბერუსაფრთხოება",32,"მექატრონიკა / რობოტიკა",32,"ფინანსები / ეკონ.",23,"საბუნ. მეცნ.",19,"სტომატოლოგია",15,"მედიცინა",15
"04 — Info Systems (BIS)","ორგ. + ლოგიკური აზრ. + სწრ.სწავლ.","IT — ბიზ.+ტექნ.","სტაბ.სამ. + მ.ხელფ.","-","ბიზნეს-ინფ. სისტემები",58,"ბიზ. ადმინისტ.",37,"ფინანსები / ეკონ.",26,"პროგრამული ინჟინ. / IT",24,"სტომატოლოგია",24,"მექატრონიკა / რობოტიკა",21,"სამართალი",21,"კიბერუსაფრთხოება",20
"05 — Robotics","პროგ. + მათემ. + ხელ.+ტექ.","IT — რობოტ./სისტ.","მ.ხელფ. + დამ.სამ.","-","მექატრონიკა / რობოტიკა",62,"პროგრამული ინჟინ. / IT",49,"ელ. ინჟინ. / ენერგეტ.",27,"კიბერუსაფრთხოება",26,"მონაცემები / სტატ. / AI",24,"სტომატოლოგია",19,"ფინანსები / ეკონ.",19,"მექ. ინჟინერია",16
"06 — Civil Eng.","მათემ. + ხელ.+ტექ. + ანალ.","ინჟ — შენობ./ხიდ.","სტაბ.სამ. + მ.ხელფ.","ადამ.კ.არა","სამოქალაქო ინჟინერია",55,"სტომატოლოგია",30,"მექატრონიკა / რობოტიკა",26,"სამართალი",26,"მექ. ინჟინერია",25,"ელ. ინჟინ. / ენერგეტ.",25,"ფინანსები / ეკონ.",25,"პროგრამული ინჟინ. / IT",17
"07 — Elec. Eng.","მათემ. + ლოგიკური აზრ. + ხელ.+ტექ.","ინჟ — ენერგ./ელ.","მ.ხელფ. + სტაბ.სამ.","ადამ.კ.არა","ელ. ინჟინ. / ენერგეტ.",64,"მექატრონიკა / რობოტიკა",46,"მექ. ინჟინერია",34,"სტომატოლოგია",30,"პროგრამული ინჟინ. / IT",24,"ფინანსები / ეკონ.",23,"სამართალი",21,"ფარმაცია",18
"08 — Mech. Eng.","მათემ. + ხელ.+ტექ. + ლოგიკური აზრ.","ინჟ — მექანიზმ.","მ.ხელფ. + სტაბ.სამ.","-","მექ. ინჟინერია",64,"მექატრონიკა / რობოტიკა",46,"ელ. ინჟინ. / ენერგეტ.",34,"სტომატოლოგია",30,"პროგრამული ინჟინ. / IT",24,"ფინანსები / ეკონ.",23,"სამართალი",21,"ფარმაცია",18
"09 — Env. Eng.","ზუსტ.მეცნ. + კვლევა + ხელ.+ტექ.","ინჟ — გარემო/მდგ.","კვლ.საქ. + აქტ.მოძრ.","-","გარემ. / ქიმ. ინჟინ.",56,"საბუნ. მეცნ.",35,"ბიომედ. მეცნ.",25,"მედიცინა",24,"ფარმაცია",22,"სამოქალაქო ინჟინერია",19,"მონაცემები / სტატ. / AI",17,"ჰუმანიტ. მეცნ.",15
"10 — UI/UX Designer","შემოქ. + ხ.ხელ. + პროგ.","კრ — UI/UX","კრეატ.საქ. + დამ.სამ.","რუტ.არა","დიზაინი / სახ. ხელ.",74,"პროგრამული ინჟინ. / IT",32,"მუსიკა / თეატ. / კინო",24,"არქიტექტურა",23,"მონაცემები / სტატ. / AI",17,"კიბერუსაფრთხოება",16,"მარკეტინგი / PR",15,"საბუნ. მეცნ.",15
"11 — Doctor (General)","ზუსტ.მეცნ. + დახ.ადამ. + კვლევა","მედ — ექიმ.","მ.ხელფ. + ადამ.კონტ.","-","მედიცინა",78,"ბიომედ. მეცნ.",21,"სტომატოლოგია",19,"ფსიქოლოგია",18,"განათლება / პედ.",18,"სოციალური მუშ.",17,"ექთნობა / მედდა",17,"ფიზიოთერაპია",15
"12 — Surgeon","ზუსტ.მეცნ. + ხელ.+ტექ. + ლოგიკური აზრ.","მედ — ქირ.","მ.ხელფ. + სტაბ.სამ.","-","მედიცინა",55,"სტომატოლოგია",36,"მექატრონიკა / რობოტიკა",27,"მექ. ინჟინერია",25,"ელ. ინჟინ. / ენერგეტ.",25,"სამართალი",21,"ფარმაცია",20,"პროგრამული ინჟინ. / IT",18
"13 — Pediatrician","დახ.ადამ. + ზუსტ.მეცნ. + კომუნ.","მედ — ბავ.მკ.","ადამ.კონტ. + სხვ.დახ.","სტრ.არა","მედიცინა",52,"ფსიქოლოგია",41,"ექთნობა / მედდა",30,"სოციალური მუშ.",30,"განათლება / პედ.",27,"ფიზიოთერაპია",26,"საზ. ჯანდაცვა",15,"მარკეტინგი / PR",15
"14 — Dentist","ზუსტ.მეცნ. + ხელ.+ტექ. + ლოგიკური აზრ.","ჯანდ — სტომ.","მ.ხელფ. + სტაბ.სამ.","სტრ.არა","სტომატოლოგია",61,"მექატრონიკა / რობოტიკა",27,"მექ. ინჟინერია",25,"ელ. ინჟინ. / ენერგეტ.",25,"ფარმაცია",20,"პროგრამული ინჟინ. / IT",18,"ბიზ. ადმინისტ.",17,"კიბერუსაფრთხოება",17
"15 — Pharmacist","ზუსტ.მეცნ. + კვლევა + ლოგიკური აზრ.","ჯანდ — ფარმ.","კვლ.საქ. + სტაბ.სამ.","-","ფარმაცია",76,"საბუნ. მეცნ.",40,"ბიომედ. მეცნ.",39,"მონაცემები / სტატ. / AI",24,"მედიცინა",17,"სტომატოლოგია",17,"საზ. ჯანდაცვა",17,"ჰუმანიტ. მეცნ.",15
"16 — Nurse (Emergency)","დახ.ადამ. + ორგ. + კომუნ.","მედ — გადაუდ.","სხვ.დახ. + სტაბ.სამ.","სტრ.არა","ექთნობა / მედდა",67,"მედიცინა",37,"განათლება / პედ.",32,"საზ. ჯანდაცვა",27,"ფსიქოლოგია",19,"ბიზ. ადმინისტ.",19,"სოციალური მუშ.",18,"ფიზიოთერაპია",17
"17 — Physiotherapist","დახ.ადამ. + სპორტი + ხელ.+ტექ.","ჯანდ — ფიზ.თერ.","აქტ.მოძრ. + სხვ.დახ.","ოფ.არა","ფიზიოთერაპია",74,"მედიცინა",32,"სპორტი / ფიზ. განათ.",31,"ექთნობა / მედდა",19,"ფსიქოლოგია",19,"სოციალური მუშ.",18,"განათლება / პედ.",16,"საზ. ჯანდაცვა",15
"18 — Biomedical Sci.","კვლევა + ზუსტ.მეცნ. + ანალ.","ჯანდ — ლაბ./კვლ.","კვლ.საქ. + დამ.სამ.","ადამ.კ.არა","ბიომედ. მეცნ.",64,"საბუნ. მეცნ.",54,"მონაცემები / სტატ. / AI",35,"ფარმაცია",32,"ჰუმანიტ. მეცნ.",22,"პროგრამული ინჟინ. / IT",15,"გარემ. / ქიმ. ინჟინ.",15,"კიბერუსაფრთხოება",15
"19 — Public Health","კვლევა + დახ.ადამ. + ანალ.","მედ — საჯ.ჯანმ.","სტაბ.სამ. + სხვ.დახ.","-","საზ. ჯანდაცვა",74,"მედიცინა",36,"ექთნობა / მედდა",32,"განათლება / პედ.",27,"ფსიქოლოგია",19,"საბუნ. მეცნ.",19,"სოციალური მუშ.",18,"ფიზიოთერაპია",17
"20 — Sports Medicine","სპორტი + დახ.ადამ. + ზუსტ.მეცნ.","სპ — სპ.მედ.","აქტ.მოძრ. + ადამ.კონტ.","ოფ.არა","ფიზიოთერაპია",50,"სპორტი / ფიზ. განათ.",50,"მედიცინა",47,"ფსიქოლოგია",18,"განათლება / პედ.",18,"სოციალური მუშ.",17,"ექთნობა / მედდა",17,"ტურიზმი / სტუმ.",15
"21 — Lawyer (Advocate)","წერა + ანალ. + კომუნ.","სამ — ადვ.","მ.ხელფ. + ლიდ.როლი","-","სამართალი",67,"საერთ. ურთ. / პოლიტ.",26,"ბიზ. ადმინისტ.",25,"ფინანსები / ეკონ.",18,"სტომატოლოგია",15,"ჟურნალისტ. / მედია",15,"პროგრამული ინჟინ. / IT",15,"მედიცინა",15
"22 — Corporate Law","ანალ. + წერა + ლოგიკური აზრ.","სამ — ბიზ.სამ.","მ.ხელფ. + სტაბ.სამ.","ფიზ.არა","სამართალი",65,"ბიზ. ადმინისტ.",31,"ფინანსები / ეკონ.",31,"სტომატოლოგია",24,"მექატრონიკა / რობოტიკა",21,"პროგრამული ინჟინ. / IT",18,"ელ. ინჟინ. / ენერგეტ.",18,"კიბერუსაფრთხოება",17
"23 — HR Manager","კომუნ. + ლიდერ. + ორგ.","ბიზ — HR","ადამ.კონტ. + სტაბ.სამ.","ფიზ.არა","ბიზ. ადმინისტ.",59,"განათლება / პედ.",28,"ექთნობა / მედდა",27,"ფსიქოლოგია",25,"სოციალური მუშ.",20,"სამართალი",19,"ტურიზმი / სტუმ.",19,"ბიზნეს-ინფ. სისტემები",15
"24 — Entrepreneur","ლიდერ. + კომუნ. + გაყიდვები","ბიზ — სტარტ.","ლიდ.როლი + მ.ხელფ.","-","ბიზ. ადმინისტ.",77,"სამართალი",28,"მარკეტინგი / PR",27,"ფინანსები / ეკონ.",21,"საერთ. ურთ. / პოლიტ.",17,"სტომატოლოგია",15,"პროგრამული ინჟინ. / IT",15,"მედიცინა",15
"25 — Finance / Invest.","მათემ. + ანალ. + ლოგიკური აზრ.","ეკ — ფინ./ინვ.","მ.ხელფ. + ლიდ.როლი","ფიზ.არა","ფინანსები / ეკონ.",68,"ბიზ. ადმინისტ.",36,"მონაცემები / სტატ. / AI",29,"პროგრამული ინჟინ. / IT",24,"სამართალი",24,"მექატრონიკა / რობოტიკა",18,"კიბერუსაფრთხოება",17,"საერთ. ურთ. / პოლიტ.",17
"26 — Marketing","შემოქ. + კომუნ. + გაყიდვები","ეკ — მარკ.","ადამ.კონტ. + კრეატ.საქ.","რუტ.არა","მარკეტინგი / PR",73,"ტურიზმი / სტუმ.",19,"დიზაინი / სახ. ხელ.",19,"არქიტექტურა",18,"მუსიკა / თეატ. / კინო",18,"ბიზ. ადმინისტ.",16,"ჟურნალისტ. / მედია",16,"ფსიქოლოგია",15
"27 — Int'l Relations","უცხ.ენები + კომუნ. + ლიდერ.","სოც — საერთ.ურთ.","საერთ.კარ. + ლიდ.როლი","-","საერთ. ურთ. / პოლიტ.",75,"სამართალი",31,"ბიზ. ადმინისტ.",31,"ტურიზმი / სტუმ.",21,"ენები / ლინგვ.",19,"ჰუმანიტ. მეცნ.",15,"სპორტი / ფიზ. განათ.",15,"მარკეტინგი / PR",15
